timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 23:27,46,2.182004,2.808079,0.9552289,30,0.07501663,2.520951,0.1695329,47,1.855831,2.617974,0.6814183
2022/9/1 23:32,46,2.330599,3.092501,0.9902246,30,0.08247895,2.719228,0.1562228,48,1.426556,2.876074,0.5516214
2022/9/1 23:37,46,2.281142,2.999373,0.9828873,30,0.06549681,2.4388,0.1324911,47,1.624868,2.809931,0.5254627
2022/9/1 23:42,46,2.339265,3.121711,1.123787,30,0.07414576,2.412463,0.1807294,48,1.737393,2.637943,0.6733985
2022/9/1 23:47,46,2.35444,3.077381,1.186353,29,0.07351151,2.571265,0.1804148,47,1.466324,2.812903,0.6741557
2022/9/1 23:52,46,2.330651,2.797319,1.095063,29,0.06685795,2.354753,0.130719,47,1.415206,2.682756,0.6216264
2022/9/1 23:57,46,2.26687,2.737344,1.037713,29,0.07183854,2.506385,0.1483155,46,1.458757,2.748137,0.6109329
2022/9/2 0:02,46,2.273343,3.131373,0.9261871,29,0.06784805,2.391505,0.1169083,46,1.475289,2.815857,0.5510367
2022/9/2 0:12,45,2.250946,2.979401,0.9746078,29,0.06914929,2.433853,0.1086728,46,1.677728,2.713597,0.613156
2022/9/2 0:17,45,2.395068,2.765892,1.110824,29,0.07384382,2.488468,0.1401479,47,1.455032,3.091702,0.5535004
2022/9/2 0:22,45,2.13913,2.991673,1.142136,29,0.07866175,2.552108,0.1934727,47,1.41537,3.023685,0.6067963
2022/9/2 0:27,45,2.301196,2.868831,1.015327,29,0.06398387,2.6882,0.1514717,46,1.601221,2.708577,0.5191501
2022/9/2 0:32,45,2.290726,2.876075,1.090799,29,0.06453845,2.454246,0.1710372,46,1.563217,2.953139,0.6438794
2022/9/2 0:37,45,2.390656,2.883729,1.0927,28,0.06948654,2.37658,0.1473352,47,1.19107,2.861562,0.2618409
2022/9/2 0:42,45,2.294638,2.893372,1.054168,28,0.06904173,2.285136,0.1388306,47,1.259481,2.965069,0.217026
2022/9/2 0:47,45,2.355049,2.897576,1.122532,28,0.07326582,2.655511,0.1254824,48,1.269989,2.874755,0.2693121
2022/9/2 0:52,45,2.19463,2.88912,1.091676,28,0.06416462,2.363485,0.1726104,48,1.230898,3.292268,0.241554
2022/9/2 0:57,45,2.441023,2.872028,0.9492776,28,0.06938583,2.5899,0.2221713,49,1.312777,2.904052,0.2489698
2022/9/2 1:02,45,2.312024,2.9554,1.019617,28,0.06456782,2.548831,0.1586778,49,1.361199,2.934231,0.2760635
2022/9/2 1:07,45,2.349215,3.044706,0.9732844,28,0.07124526,2.739322,0.1778442,49,1.249482,3.183671,0.2415025
2022/9/2 1:12,44,2.272621,3.000759,1.115517,28,0.06500764,2.370689,0.164312,49,1.270407,2.958693,0.2576058
2022/9/2 1:17,44,2.206815,2.74915,1.124452,28,0.06252947,2.313445,0.1560233,49,1.151878,2.77292,0.2473578
2022/9/2 1:22,44,2.460541,3.165277,1.036179,28,0.07839914,2.387784,0.1488081,49,1.291203,2.972789,0.2237531
2022/9/2 1:27,44,2.335922,2.82763,1.087475,28,0.06317579,2.424632,0.215727,50,1.248618,2.790762,0.283187
2022/9/2 1:32,44,2.23283,2.851817,1.184739,28,0.06985249,2.532123,0.1791493,50,1.228988,3.105099,0.2517612
2022/9/2 1:37,44,2.356738,2.860136,0.9531466,28,0.07136096,2.476683,0.1908529,50,1.248868,2.873314,0.2722509
2022/9/2 1:42,44,2.035462,2.98453,0.9780049,28,0.06324357,2.452395,0.15486,50,1.199054,3.042407,0.208464
