timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-02 11:32:10,28.0,0.070659,2.766607,,,0.1953234
2022-09-02 11:37:10,28.0,0.0660216,2.839505,,,0.2184595
2022-09-02 11:42:10,28.0,0.06615901,2.424589,,,0.2382815
2022-09-02 11:47:10,28.0,0.07761806,2.687944,,,0.1619033
2022-09-02 11:52:10,28.0,0.06240728,2.400027,,,0.1750647
2022-09-02 11:57:10,28.0,0.06879342,2.600947,,,0.2348909
2022-09-02 12:02:10,28.0,0.06969083,2.649166,,,0.1624193
2022-09-02 12:07:10,28.0,0.06424745,2.822411,,,0.2082803
2022-09-02 12:12:10,28.0,0.06596968,2.586545,,,0.1346336
2022-09-02 12:17:10,28.0,0.06806596,2.93102,,,0.1519931
2022-09-02 12:22:10,28.0,0.06613731,2.389961,,,0.1999082
2022-09-02 12:27:10,28.0,0.0821465,2.824306,,,0.1780883
2022-09-02 12:32:10,28.0,0.06594739,2.788668,,,0.1780365
2022-09-02 12:37:10,28.0,0.06144394,2.309139,,,0.1292901
2022-09-02 12:42:10,28.0,0.06103449,2.424862,,,0.1443139
2022-09-02 12:47:10,28.0,0.06152667,2.488279,,,0.1153707
2022-09-02 12:52:10,28.0,0.06246642,2.333153,,,0.1503063
2022-09-02 12:57:10,28.0,0.05813808,2.438098,,,0.1006365
2022-09-02 13:02:10,28.0,0.06467173,2.371917,,,0.1041443
2022-09-02 13:07:10,28.0,0.06455377,2.48893,,,0.1271638
2022-09-02 13:12:10,28.0,0.06355784,2.743919,,,0.156
2022-09-02 13:17:10,28.0,0.06105284,2.646471,,,0.1602726
2022-09-02 13:22:10,28.0,0.06341675,2.709298,,,0.1193182
2022-09-02 13:27:10,28.0,0.06212794,2.593484,,,0.211345
2022-09-02 13:32:10,29.0,0.0610219,2.664802,,,0.1538503
2022-09-02 13:37:10,29.0,0.06283525,2.727038,,,0.1949717
2022-09-02 13:42:10,29.0,0.0679768,2.82594,,,0.1866307
2022-09-02 13:47:10,29.0,0.07012608,2.761569,,,0.1887531
2022-09-02 13:52:10,28.0,0.059585,2.502844,,,0.1428451
